Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km)
Toyota,Corolla,Compact,1.8,4,A6,X,7.5,174
Honda,Civic,Compact,2.0,4,M6,X,7.8,182
Ford,F-150,Pickup,3.3,6,A10,X,12.0,275
Chevrolet,Malibu,Midsize,2.5,4,A6,X,8.9,206
BMW,320i,Compact,2.0,4,A8,Z,7.6,177
Mercedes,C300,Compact,2.0,4,A9,Z,8.1,185
Hyundai,Elantra,Compact,2.0,4,A6,X,7.4,171
Nissan,Altima,Midsize,2.5,4,A7,X,8.5,198
Kia,Optima,Midsize,2.4,4,A6,X,8.7,202
Audi,A4,Compact,2.0,4,A7,Z,7.9,180
Volkswagen,Passat,Midsize,2.0,4,A6,X,8.4,194
Mazda,3,Compact,2.0,4,A6,X,7.2,168
Subaru,Impreza,Compact,2.0,4,A5,X,7.8,181
Jeep,Wrangler,SUV,3.6,6,A8,X,11.7,268
Dodge,Charger,Full-size,3.6,6,A8,X,10.2,240
Tesla,Model 3,Compact,0.0,0,AV,E,0.0,0
Toyota,RAV4,SUV,2.5,4,A8,X,8.9,205
Honda,CR-V,SUV,1.5,4,CVT,X,7.8,182
Ford,Escape,SUV,2.0,4,A8,X,9.1,211
Chevrolet,Equinox,SUV,1.5,4,A6,X,8.7,201
Hyundai,Tucson,SUV,2.0,4,A6,X,8.6,199
Kia,Sportage,SUV,2.4,4,A6,X,9.2,214
BMW,X3,SUV,2.0,4,A8,Z,8.4,193
Mercedes,GLC300,SUV,2.0,4,A9,Z,8.7,202
Nissan,Rogue,SUV,2.5,4,CVT,X,8.5,197
Mazda,CX-5,SUV,2.5,4,A6,X,8.8,203
Subaru,Forester,SUV,2.5,4,CVT,X,8.2,190
Jeep,Grand Cherokee,SUV,3.6,6,A8,X,11.0,254
Dodge,Durango,SUV,3.6,6,A8,X,11.4,263
Volkswagen,Tiguan,SUV,2.0,4,A8,X,9.5,220
